Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
AGARIND,EQ,1-Dec-15,182.4,183.9,188.7,180,186,186.65,183.74,111745,20531625.8,1592,52559,47.03
AGARIND,EQ,2-Dec-15,186.65,188.35,188.4,181,184.9,183.85,183.59,81188,14905662.3,537,41736,51.41
AGARIND,EQ,3-Dec-15,183.85,184,186.65,181.25,181.5,181.65,183.2,11640,2132402.6,277,6070,52.15
AGARIND,EQ,4-Dec-15,181.65,182,184.4,180.1,183,182.3,182.61,24383,4452502.75,233,19413,79.62
AGARIND,EQ,7-Dec-15,182.3,183,183,175.5,176,176.8,179.6,11272,2024501.25,247,7218,64.03
AGARIND,EQ,8-Dec-15,176.8,177,179.9,175.55,178.85,176.5,177.67,8956,1591221.75,168,6014,67.15
AGARIND,EQ,9-Dec-15,176.5,184.9,184.9,173.1,173.15,173.6,174.75,9485,1657549.15,229,6598,69.56
AGARIND,EQ,10-Dec-15,173.6,175,180,172.95,175.7,176.1,174.25,5064,882376.7,113,3429,67.71
AGARIND,EQ,11-Dec-15,176.1,178,185.2,174.5,174.55,174.6,176.81,19818,3504074.05,140,9473,47.8
AGARIND,EQ,14-Dec-15,174.6,175,180,173.2,173.2,173.95,174.79,15026,2626381.55,230,8980,59.76
AGARIND,EQ,15-Dec-15,173.95,174.2,178,174,178,174.55,174.55,8691,1516983.05,55,3492,40.18
AGARIND,EQ,16-Dec-15,174.55,174.65,178.35,174,174,174,175.28,19450,3409161,93,8701,44.74
AGARIND,EQ,17-Dec-15,174,174.2,184.5,174,183,183.9,180.56,23921,4319213.5,334,13786,57.63
AGARIND,EQ,18-Dec-15,183.9,188.7,190,183,184.5,183.7,185.12,16964,3140376.75,313,8234,48.54
AGARIND,EQ,21-Dec-15,183.7,183.8,189,183.8,188,187.7,186.54,26178,4883347.2,287,13458,51.41
AGARIND,EQ,22-Dec-15,187.7,180.5,205.8,180.5,196,194.8,197.7,41247,8154595.75,765,23424,56.79
AGARIND,EQ,23-Dec-15,194.8,196,204.65,193.1,198.95,197.7,198.84,59721,11875166.3,730,24615,41.22
AGARIND,EQ,24-Dec-15,197.7,196.5,205.75,196,197,197,196.69,35489,6980508.3,438,12455,35.1
AGARIND,EQ,28-Dec-15,197,204.9,204.9,195.05,196,196.6,198.63,24016,4770209.55,333,16501,68.71
AGARIND,EQ,29-Dec-15,196.6,196.05,198,192,194,193.2,195.58,38848,7597747.85,215,11824,30.44
AGARIND,EQ,30-Dec-15,193.2,192.35,195.95,191,193.05,193.2,192.65,13269,2556260.1,137,9982,75.23
AGARIND,EQ,31-Dec-15,193.2,191.1,196.45,187,187,188.1,190.14,23339,4437768.95,371,8112,34.76
AGARIND,EQ,1-Jan-16,188.1,189,191.5,186.35,187.5,187.4,188.72,10722,2023476.3,156,9517,88.76
AGARIND,EQ,4-Jan-16,187.4,188,190.75,184,188,187.3,186.61,34854,6504121.35,313,6589,18.9
AGARIND,EQ,5-Jan-16,187.3,187.25,190.95,183.5,185,184.3,186.08,36886,6863591.25,533,7813,21.18
AGARIND,EQ,6-Jan-16,184.3,186,199,183,187,186.15,185.44,30314,5621286.45,443,7172,23.66
