,NIFTY_Close,SMA,upper_band,lower_band
2015-12-01,7954.9,,,
2015-12-02,7931.35,,,
2015-12-03,7864.15,,,
2015-12-04,7781.9,,,
2015-12-07,7765.4,,,
2015-12-08,7701.7,,,
2015-12-09,7612.5,,,
2015-12-10,7683.3,,,
2015-12-11,7610.45,,,
2015-12-14,7650.05,,,
2015-12-15,7700.9,,,
2015-12-16,7750.9,,,
2015-12-17,7844.35,,,
2015-12-18,7761.95,,,
2015-12-21,7834.45,,,
2015-12-22,7786.1,,,
2015-12-23,7865.95,,,
2015-12-24,7861.05,,,
2015-12-28,7925.15,,,
2015-12-29,7928.95,,,
2015-12-30,7896.25,,,
2015-12-31,7946.35,7802.63863636,8021.58057677,7583.69669596
2016-01-01,7963.2,7803.01590909,8023.08302307,7582.94879512
2016-01-04,7791.3,7796.65,8009.13244073,7584.16755927
2016-01-05,7784.65,7793.03636364,8003.40185099,7582.67087629
2016-01-06,7741.0,7791.17727273,8002.67502849,7579.67951696
2016-01-07,7568.3,7782.21818182,8014.0158369,7550.42052674
2016-01-08,7601.35,7777.65681818,8019.81209756,7535.50153881
2016-01-11,7563.85,7775.44545455,8024.70519268,7526.18571641
2016-01-12,7510.3,7767.58181818,8038.95771553,7496.20592083
2016-01-13,7562.4,7765.39772727,8042.7799914,7488.01546314
2016-01-14,7536.8,7760.25,8050.50725043,7469.99274957
2016-01-15,7437.8,7748.29090909,8068.88969951,7427.69211868
2016-01-18,7351.0,7730.11363636,8092.69117773,7367.53609499
2016-01-19,7435.1,7711.51136364,8091.12221818,7331.90050909
2016-01-20,7309.3,7690.93636364,8106.46007356,7275.41265372
2016-01-21,7276.8,7665.58863636,8111.36080958,7219.81646315
2016-01-22,7422.45,7649.05909091,8102.9994684,7195.11871341
2016-01-25,7436.15,7629.52272727,8081.33741403,7177.70804052
2016-01-27,7437.75,7610.28181818,8056.80146159,7163.76217478
2016-01-28,7424.65,7587.53181818,8017.52068464,7157.54295172
2016-01-29,7563.55,7570.92272727,7972.96857248,7168.87688207
