,NIFTY.csv,AGARIND.csv,EMMBI.csv,IGL.csv
2015-12-01,7954.9,186.65,87.4,480.2
2015-12-02,7931.35,183.85,87.4,479.9
2015-12-03,7864.15,181.65,87.15,479.9
2015-12-04,7781.9,182.3,88.35,473.9
2015-12-07,7765.4,176.8,91.85,466.25
2015-12-08,7701.7,176.5,93.15,462.1
2015-12-09,7612.5,173.6,85.35,459.95
2015-12-10,7683.3,176.1,84.8,465.0
2015-12-11,7610.45,174.6,82.75,481.8
2015-12-14,7650.05,173.95,81.5,474.15
2015-12-15,7700.9,174.55,83.85,469.0
2015-12-16,7750.9,174.0,83.1,500.25
2015-12-17,7844.35,183.9,86.8,498.65
2015-12-18,7761.95,183.7,84.55,493.95
2015-12-21,7834.45,187.7,84.7,508.9
2015-12-22,7786.1,194.8,85.15,509.15
2015-12-23,7865.95,197.7,85.7,519.3
2015-12-24,7861.05,197.0,84.8,515.3
2015-12-28,7925.15,196.6,84.8,527.45
2015-12-29,7928.95,193.2,83.4,534.5
2015-12-30,7896.25,193.2,82.75,526.4
2015-12-31,7946.35,188.1,84.15,529.0
2016-01-01,7963.2,187.4,84.65,526.95
2016-01-04,7791.3,187.3,84.0,519.25
2016-01-05,7784.65,184.3,82.95,556.45
2016-01-06,7741.0,186.15,81.4,567.7
2016-01-07,7568.3,178.8,77.5,560.25
2016-01-08,7601.35,180.55,76.15,565.05
2016-01-11,7563.85,175.95,75.6,591.55
2016-01-12,7510.3,166.15,72.6,577.7
2016-01-13,7562.4,161.9,67.4,574.25
2016-01-14,7536.8,160.25,63.5,558.65
2016-01-15,7437.8,159.15,59.2,551.65
2016-01-18,7351.0,150.45,52.55,552.3
2016-01-19,7435.1,153.3,57.8,552.65
2016-01-20,7309.3,149.55,59.9,548.85
2016-01-21,7276.8,154.15,62.7,546.7
2016-01-22,7422.45,150.15,66.9,570.2
2016-01-25,7436.15,147.4,70.2,582.5
2016-01-27,7437.75,156.7,70.35,574.2
2016-01-28,7424.65,158.95,72.2,563.7
