Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
EMMBI,EQ,1-Dec-15,88.95,90,91.5,85.3,87.7,87.4,87.95,292221,25701013.9,3781,110544,37.83
EMMBI,EQ,2-Dec-15,87.4,88.7,89.25,82.3,88.55,87.4,85.57,290948,24896651.3,3520,112822,38.78
EMMBI,EQ,3-Dec-15,87.4,88,89.15,85.1,87,87.15,86.91,173795,15104002.25,2579,65301,37.57
EMMBI,EQ,4-Dec-15,87.15,84.1,92.15,84.1,88.3,88.35,88.66,331992,29434346,2939,133505,40.21
EMMBI,EQ,7-Dec-15,88.35,89.15,94.3,88,92.45,91.85,92.04,262336,24146669.05,3062,100328,38.24
EMMBI,EQ,8-Dec-15,91.85,92.75,95.45,91.85,93.9,93.15,93.77,266494,24989932.1,2493,112856,42.35
EMMBI,EQ,9-Dec-15,93.15,94.3,95.25,83.1,86.6,85.35,88.02,327769,28848969.25,3896,160683,49.02
EMMBI,EQ,10-Dec-15,85.35,85.35,87.5,80,85.2,84.8,83.26,229492,19106818.1,4506,69444,30.26
EMMBI,EQ,11-Dec-15,84.8,86,86.5,81.5,82.4,82.75,83.89,153408,12868757,2738,58555,38.17
EMMBI,EQ,14-Dec-15,82.75,83,83.45,80.75,81.7,81.5,81.93,121673,9968094.9,2314,51882,42.64
EMMBI,EQ,15-Dec-15,81.5,82.8,85.9,77.65,85.9,83.85,82.59,71203,5880472,1657,25813,36.25
EMMBI,EQ,16-Dec-15,83.85,84.7,85.5,82.2,82.6,83.1,83.91,104870,8799986.3,1780,39496,37.66
EMMBI,EQ,17-Dec-15,83.1,83.15,89,83.15,87.2,86.8,87.16,332134,28948229.05,3030,99257,29.88
EMMBI,EQ,18-Dec-15,86.8,87,87.4,83.3,85,84.55,84.92,124736,10592926.9,2001,53321,42.75
EMMBI,EQ,21-Dec-15,84.55,84.1,85.4,82.65,84.5,84.7,83.96,161218,13536599.2,1615,88119,54.66
EMMBI,EQ,22-Dec-15,84.7,85,88.55,84.35,84.85,85.15,85.94,117564,10104030.5,1137,42016,35.74
EMMBI,EQ,23-Dec-15,85.15,85.9,87.75,85.5,85.85,85.7,86.2,63620,5484143.8,653,35308,55.5
EMMBI,EQ,24-Dec-15,85.7,85.3,87,83.1,84.2,84.8,85.75,72357,6204470.8,804,33549,46.37
EMMBI,EQ,28-Dec-15,84.8,84,86.7,83.7,84.05,84.8,84.97,81448,6920702.95,918,40418,49.62
EMMBI,EQ,29-Dec-15,84.8,85,85.8,83.05,83.4,83.4,84.25,62137,5235129.7,623,35123,56.53
EMMBI,EQ,30-Dec-15,83.4,83.15,84.75,82.5,82.75,82.75,83.4,44789,3735376.15,566,27418,61.22
