Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
IGL,EQ,1-Dec-15,482.95,483.85,491.05,479.45,480,480.2,485.13,246933,119795228.2,7715,76153,30.84
IGL,EQ,2-Dec-15,480.2,484.7,484.7,474.75,480,479.9,478.19,197852,94610398.1,5181,125436,63.4
IGL,EQ,3-Dec-15,479.9,482.4,483.95,477,480,479.9,480.07,153474,73677658.95,4402,72224,47.06
IGL,EQ,4-Dec-15,479.9,480.05,483.95,471.1,473.75,473.9,475.39,461363,219325352.9,10623,323734,70.17
IGL,EQ,7-Dec-15,473.9,480,480.85,464.75,465.4,466.25,469.45,406193,190688084.8,11604,178789,44.02
IGL,EQ,8-Dec-15,466.25,464.5,469.6,460.45,460.75,462.1,463.26,200128,92711316.65,5153,66112,33.03
IGL,EQ,9-Dec-15,462.1,461.65,462.1,453.4,460.8,459.95,459.44,500440,229923413.6,6119,404924,80.91
IGL,EQ,10-Dec-15,459.95,462.7,466.35,455.05,464.55,465,461.03,549200,253198856.1,21711,250238,45.56
IGL,EQ,11-Dec-15,465,468,487.55,459.95,480.9,481.8,476.54,1300423,619708068.4,23688,264961,20.37
IGL,EQ,14-Dec-15,481.8,482,487.4,470.05,471,474.15,478.06,672536,321513663,21197,187562,27.89
IGL,EQ,15-Dec-15,474.15,473.9,474.8,466.05,468,469,470.16,323372,152037314.8,7059,173719,53.72
IGL,EQ,16-Dec-15,469,478,506.8,475.3,500,500.25,494.52,5273005,2607623771,83864,1694131,32.13
IGL,EQ,17-Dec-15,500.25,508.9,511.35,496,498.5,498.65,501.42,1897042,951210333,52204,556715,29.35
IGL,EQ,18-Dec-15,498.65,497,503.75,492.15,496.2,493.95,497.98,824619,410645150.8,18328,357928,43.41
IGL,EQ,21-Dec-15,493.95,494.55,513.9,492.1,508.35,508.9,507.85,1526469,775212187.8,40081,385086,25.23
IGL,EQ,22-Dec-15,508.9,509.45,517,507.25,510.25,509.15,512.68,819727,420260914.4,19630,257233,31.38
IGL,EQ,23-Dec-15,509.15,510,524.1,510,519.3,519.3,519.99,1248110,649004522.1,29071,270874,21.7
IGL,EQ,24-Dec-15,519.3,519,521,511.5,515.5,515.3,515.71,399306,205925068.5,11577,117653,29.46
IGL,EQ,28-Dec-15,515.3,517,532.4,517,526.6,527.45,526.98,1521905,802006238.5,30686,680706,44.73
IGL,EQ,29-Dec-15,527.45,535,539.3,530.75,534.25,534.5,535.17,1297747,694509519.8,21812,663936,51.16
IGL,EQ,30-Dec-15,534.5,539.3,539.3,521.15,526.1,526.4,526.04,711839,374454177.9,11956,265932,37.36
IGL,EQ,31-Dec-15,526.4,526.9,538.5,526,528.5,529,532.13,795196,423149249.3,13976,253284,31.85
IGL,EQ,1-Jan-16,529,534,534.3,525,527.4,526.95,528.59,386040,204056096.4,6023,215932,55.94
IGL,EQ,4-Jan-16,526.95,523.1,529.45,518.05,519,519.25,521.87,545982,284930699.5,17214,313870,57.49
